,MC1,MC2,MC3,MC4,MC5,MC6,MC7,MC8,MC9,MC10
2405,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2406,ENERGIE-TRANSPORTS,POLITIQUE-DE,L'ÉNERGIE,,,,,,,
2407,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2408,VILLE-TERRITOIRES,AMÉNAGEMENT,DU,TERRITOIRE,,,,,,
2409,DÉFENSE,POLITIQUE-DE,LA,DÉFENSE,,,,,,
2410,SOCIÉTÉ-POPULATION,SPORT,,,,,,,,
2411,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2412,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2413,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2414,ECONOMIE,INTERNATIONALE,COMMERCE,INTERNATIONAL,,,,,,
2415,COLLECTIVITÉS,TERRITORIALES,COLLECTIVITÉ,LOCALE,,,,,,
2416,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2417,COLLECTIVITÉS,TERRITORIALES,COLLECTIVITÉ,LOCALE,,,,,,
2418,ENVIRONNEMENT,CLIMAT,,,,,,,,
2419,UNION-EUROPÉENNE,POLITIQUE-COMMUNE,,,,,,,,
2420,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2421,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2422,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2423,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2424,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2425,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2426,RELATIONS-INTERNATIONALES,POLITIQUE-ÉTRANGÈRE,,,,,,,,
2427,RELATIONS-INTERNATIONALES,POLITIQUE-ÉTRANGÈRE,,,,,,,,
2428,SÉCURITÉ,POLICE,,,,,,,,
2429,FINANCES,PUBLIQUES,POLITIQUE-FISCALE,,,,,,,
2430,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2431,COLLECTIVITÉS,TERRITORIALES,OUTRE-MER,,,,,,,
2432,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2433,EDUCATION-RECHERCHE,ENSEIGNEMENT,SUPÉRIEUR,,,,,,,
2434,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2435,ENERGIE-TRANSPORTS,POLITIQUE-DES,TRANSPORTS,CARBURANT,,,,,,
2436,COLLECTIVITÉS,TERRITORIALES,OUTRE-MER,,,,,,,
2437,SOCIÉTÉ-POPULATION,HANDICAPÉ,,,,,,,,
2438,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2439,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2440,RELATIONS-INTERNATIONALES,ORGANISATION,INTERNATIONALE,,,,,,,
2441,ENVIRONNEMENT,POLITIQUE-DE,L'ENVIRONNEMENT,,,,,,,
2442,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2443,ENERGIE-TRANSPORTS,POLITIQUE-DES,TRANSPORTS,,,,,,,
2444,SOCIÉTÉ-POPULATION,SPORT,,,,,,,,
2445,RELATIONS-INTERNATIONALES,AIDE,INTERNATIONALE,,,,,,,
2446,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2447,CULTURE-MÉDIAS,MUSÉE,,,,,,,,
2448,JUSTICE-DROITS,FONDAMENTAUX,POLITIQUE-JUDICIAIRE,,,,,,,
2449,RELATIONS-INTERNATIONALES,ORGANISATION,INTERNATIONALE,,,,,,,
2450,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2451,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2452,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2453,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2454,JUSTICE-DROITS,FONDAMENTAUX,POLITIQUE-JUDICIAIRE,,,,,,,
2455,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2456,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2457,ENVIRONNEMENT,MER,,,,,,,,
2458,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2459,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2460,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2461,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2462,RELATIONS-INTERNATIONALES,POLITIQUE-ÉTRANGÈRE,,,,,,,,
2463,UNION-EUROPÉENNE,POLITIQUE-AGRICOLE,COMMUNE,,,,,,,
2464,SCIENCES-NUMÉRIQUE-I.,A.,INTERNET,,,,,,,
2465,SOCIÉTÉ-POPULATION,FRANÇAIS,À,L'ÉTRANGER,,,,,,
2466,ENERGIE-TRANSPORTS,POLITIQUE-DES,TRANSPORTS,,,,,,,
2467,FINANCES,PUBLIQUES,TAXE,ENERGIE-TRANSPORTS,CARBURANT,,,,,
2468,SÉCURITÉ,TERRORISME,,,,,,,,
2469,UNION-EUROPÉENNE,POLITIQUE-COMMUNE,,,,,,,,
2470,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2471,CULTURE-MÉDIAS,BIBLIOTHÈQUE,,,,,,,,
2472,SÉCURITÉ,TERRORISME,,,,,,,,
2473,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2474,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2475,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2476,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2477,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2478,SCIENCES-NUMÉRIQUE-I.,A.,INTERNET,,,,,,,
2479,LOI,,,,,,,,,
2480,SANTÉ-PROTECTION,SOCIALE,SÉCURITÉ,SOCIALE,,,,,,
2481,LOI,,,,,,,,,
2482,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2483,SCIENCES-NUMÉRIQUE-I.,A.,INTERNET,,,,,,,
2484,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2485,SANTÉ-PROTECTION,SOCIALE,SÉCURITÉ,SOCIALE,,,,,,
2486,SCIENCES-NUMÉRIQUE-I.,A.,INTERNET,,,,,,,
2487,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2488,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2489,SOCIÉTÉ-POPULATION,SPORT,,,,,,,,
2490,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2491,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2492,RELATIONS-INTERNATIONALES,DIPLOMATIE,,,,,,,,
2493,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2494,RELATIONS-INTERNATIONALES,DIPLOMATIE,,,,,,,,
2495,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2496,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2497,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2498,RELATIONS-INTERNATIONALES,DIPLOMATIE,,,,,,,,
2499,CULTURE-MÉDIAS,PRESSE,,,,,,,,
2500,RELATIONS-INTERNATIONALES,DIPLOMATIE,,,,,,,,
2501,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2502,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2503,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2504,COLLECTIVITÉS,TERRITORIALES,COLLECTIVITÉ,LOCALE,,,,,,
2505,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2506,COLLECTIVITÉS,TERRITORIALES,DÉPARTEMENT,,,,,,,
2507,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2508,ECONOMIE,INTERNATIONALE,COMMERCE,INTERNATIONAL,,,,,,
2509,ENVIRONNEMENT,CLIMAT,,,,,,,,
2510,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2511,LOI,,,,,,,,,
2512,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2513,FINANCES,PUBLIQUES,TAXE,ENERGIE-TRANSPORTS,CARBURANT,,,,,
2514,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2515,SOCIÉTÉ-POPULATION,JEUNE,,,,,,,,
2516,CULTURE-MÉDIAS,MÉDIA,,,,,,,,
2517,VIE,ÉCONOMIQUE,POLITIQUE-INDUSTRIELLE,,,,,,,
2518,ENERGIE-TRANSPORTS,POLITIQUE-DES,TRANSPORTS,TRANSPORT,AÉRIEN,,,,,
2519,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2520,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2521,FINANCES,PUBLIQUES,TAXE,ENERGIE-TRANSPORTS,CARBURANT,,,,,
2522,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2523,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2524,DÉFENSE,POLITIQUE-DE,LA,DÉFENSE,,,,,,
2525,LOI,,,,,,,,,
2526,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2527,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2528,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2529,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2530,UNION-EUROPÉENNE,POLITIQUE-COMMUNE,,,,,,,,
2531,VIE,ÉCONOMIQUE,TOURISME,,,,,,,
2532,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2533,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2534,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2535,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2536,SCIENCES-NUMÉRIQUE-I.,A.,INTERNET,,,,,,,
2537,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2538,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2539,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2540,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2541,SÉCURITÉ,POLICE,,,,,,,,
2542,SANTÉ-PROTECTION,SOCIALE,SANTÉ,PUBLIQUE,,,,,,
2543,EDUCATION-RECHERCHE,ETABLISSEMENT,SCOLAIRE,,,,,,,
2544,SÉCURITÉ,VIOLENCE,,,,,,,,
2545,JUSTICE-DROITS,FONDAMENTAUX,POLITIQUE-JUDICIAIRE,,,,,,,
2546,SÉCURITÉ,TERRORISME,,,,,,,,
2547,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2548,ENVIRONNEMENT,POLITIQUE-DE,L'ENVIRONNEMENT,,,,,,,
2549,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2550,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2551,CITOYENNETÉ-ELECTIONS,RÉFÉRENDUM,,,,,,,,
2552,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2553,SOCIÉTÉ-POPULATION,FEMME,,,,,,,,
2554,SÉCURITÉ,VIOLENCE,,,,,,,,
2555,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2556,PAS,DE,MOTS,CLE,,,,,,
2557,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2558,SÉCURITÉ,POLICE,,,,,,,,
2559,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2560,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2561,DÉFENSE,POLITIQUE-DE,LA,DÉFENSE,,,,,,
2562,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2563,VIE,ÉCONOMIQUE,POLITIQUE-AGRICOLE,,,,,,,
2564,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2565,ENVIRONNEMENT,MER,,,,,,,,
2566,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2567,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2568,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2569,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2570,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2571,RELATIONS-INTERNATIONALES,POLITIQUE-ÉTRANGÈRE,,,,,,,,
2572,SOCIÉTÉ-POPULATION,EXCLUSION,SOCIALE,,,,,,,
2573,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2574,CULTURE-MÉDIAS,FRANCOPHONIE,,,,,,,,
2575,SOCIÉTÉ-POPULATION,HANDICAPÉ,,,,,,,,
2576,SÉCURITÉ,VIOLENCE,,,,,,,,
2577,EDUCATION-RECHERCHE,POLITIQUE-DE,LA,RECHERCHE,,,,,,
2578,CULTURE-MÉDIAS,POLITIQUE-CULTURELLE,,,,,,,,
2579,JUSTICE-DROITS,FONDAMENTAUX,POLITIQUE-JUDICIAIRE,,,,,,,
2580,UNION-EUROPÉENNE,DROIT-EUROPÉEN,,,,,,,,
2581,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2582,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2583,SÉCURITÉ,VIOLENCE,,,,,,,,
2584,COLLECTIVITÉS,TERRITORIALES,COLLECTIVITÉ,LOCALE,,,,,,
2585,ENERGIE-TRANSPORTS,POLITIQUE-DES,TRANSPORTS,,,,,,,
2586,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2587,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2588,DÉFENSE,POLITIQUE-DE,LA,DÉFENSE,,,,,,
2589,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2590,COLLECTIVITÉS,TERRITORIALES,COLLECTIVITÉ,LOCALE,,,,,,
2591,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2592,SOCIÉTÉ-POPULATION,MIGRATION,,,,,,,,
2593,RELATIONS-INTERNATIONALES,POLITIQUE-ÉTRANGÈRE,,,,,,,,
2594,COLLECTIVITÉS,TERRITORIALES,OUTRE-MER,,,,,,,
2595,VIE,ÉCONOMIQUE,POLITIQUE-INDUSTRIELLE,,,,,,,
2596,ADMINISTRATION-RÉFORME,DE,L'ETAT,RÉFORME,DE,L'ETAT,,,,
2597,JUSTICE-DROITS,FONDAMENTAUX,ORGANISATION,JUDICIAIRE,,,,,,
2598,CITOYENNETÉ-ELECTIONS,IDÉOLOGIE,,,,,,,,
2599,VIE,ÉCONOMIQUE,CONSTRUCTION,NAVALE,,,,,,
2600,VIE,ÉCONOMIQUE,POLITIQUE-AGRICOLE,,,,,,,
2601,ADMINISTRATION-RÉFORME,DE,L'ETAT,DÉCENTRALISATION,COLLECTIVITÉS,TERRITORIALES,DÉPARTEMENT,,,
2602,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2603,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2604,SÉCURITÉ,TERRORISME,,,,,,,,
2605,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2606,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2607,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2608,SOCIÉTÉ-POPULATION,HANDICAPÉ,,,,,,,,
2609,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2610,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2611,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2612,ENVIRONNEMENT,POLITIQUE-DE,L'ENVIRONNEMENT,,,,,,,
2613,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2614,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2615,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2616,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2617,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2618,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2619,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2620,ENVIRONNEMENT,POLITIQUE-DE,L'ENVIRONNEMENT,,,,,,,
2621,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2622,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2623,ENERGIE-TRANSPORTS,POLITIQUE-DES,TRANSPORTS,,,,,,,
2624,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2625,SOCIÉTÉ-POPULATION,HANDICAPÉ,,,,,,,,
2626,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2627,SOCIÉTÉ-POPULATION,HANDICAPÉ,,,,,,,,
2628,ENVIRONNEMENT,POLITIQUE-DE,L'ENVIRONNEMENT,,,,,,,
2629,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2630,ENVIRONNEMENT,POLITIQUE-DE,L'ENVIRONNEMENT,,,,,,,
2631,FINANCES,PUBLIQUES,DETTE,PUBLIQUE,,,,,,
2632,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2633,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2634,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2635,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2636,JUSTICE-DROITS,FONDAMENTAUX,POLITIQUE-JUDICIAIRE,,,,,,,
2637,CULTURE-MÉDIAS,POLITIQUE-CULTURELLE,,,,,,,,
2638,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2639,SANTÉ-PROTECTION,SOCIALE,ASSURANCE,CHÔMAGE,,,,,,
2640,EMPLOI-TRAVAIL,EGALITÉ,PROFESSIONNELLE,,,,,,,
2641,SOCIÉTÉ-POPULATION,JEUNE,,,,,,,,
2642,COLLECTIVITÉS,TERRITORIALES,OUTRE-MER,,,,,,,
2643,SANTÉ-PROTECTION,SOCIALE,SÉCURITÉ,SOCIALE,,,,,,
2644,EDUCATION-RECHERCHE,ENSEIGNANT,,,,,,,,
2645,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2646,FINANCES,PUBLIQUES,POLITIQUE-FISCALE,,,,,,,
2647,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2648,VIE,ÉCONOMIQUE,POLITIQUE-AGRICOLE,,,,,,,
2649,DÉFENSE,MARINE,NATIONALE,,,,,,,
2650,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2651,EDUCATION-RECHERCHE,ENSEIGNANT,,,,,,,,
2652,VIE,ÉCONOMIQUE,POLITIQUE-AGRICOLE,,,,,,,
2653,SOCIÉTÉ-POPULATION,FEMME,,,,,,,,
2654,ENVIRONNEMENT,CATASTROPHE,NATURELLE,,,,,,,
2655,SOCIÉTÉ-POPULATION,PERSONNE,ÂGÉE,,,,,,,
2656,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2657,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2658,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2659,VIE,ÉCONOMIQUE,TOURISME,,,,,,,
2660,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2661,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2662,CULTURE-MÉDIAS,ART,,,,,,,,
2663,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2664,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2665,ENVIRONNEMENT,PROTECTION,DE,L'ENVIRONNEMENT,,,,,,
2666,DÉFENSE,ARMÉE,,,,,,,,
2667,ENVIRONNEMENT,DÉCHET,,,,,,,,
2668,INSTITUTIONS-DE-L'ETAT,GOUVERNEMENT,,,,,,,,
2669,SÉCURITÉ,POLICE,JUSTICE-DROITS,FONDAMENTAUX,JUSTICE,DÉFENSE,POLITIQUE-DE,LA,DÉFENSE,
2670,SOCIÉTÉ-POPULATION,JEUNE,,,,,,,,
2671,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2672,EDUCATION-RECHERCHE,POLITIQUE-DE,L'ENSEIGNEMENT,,,,,,,
2673,SÉCURITÉ,ORDRE,PUBLIC,,,,,,,
2674,SANTÉ-PROTECTION,SOCIALE,SOIN,MÉDICAL,,,,,,
2675,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2676,EDUCATION-RECHERCHE,ETUDIANT,,,,,,,,
2677,ENVIRONNEMENT,POLITIQUE-DE,L'ENVIRONNEMENT,,,,,,,
2678,EDUCATION-RECHERCHE,ENSEIGNEMENT,SUPÉRIEUR,,,,,,,
2679,SOCIÉTÉ-POPULATION,FAMILLE,,,,,,,,
2680,VILLE-TERRITOIRES,AMÉNAGEMENT,DU,TERRITOIRE,,,,,,
2681,SÉCURITÉ,ORDRE,PUBLIC,,,,,,,
2682,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2683,SÉCURITÉ,TERRORISME,,,,,,,,
2684,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2685,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2686,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2687,PAS,DE,MOTS,CLE,,,,,,
2688,INSTITUTIONS-DE-L'ETAT,GOUVERNEMENT,,,,,,,,
2689,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2690,COLLECTIVITÉS,TERRITORIALES,COLLECTIVITÉ,LOCALE,,,,,,
2691,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2692,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2693,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2694,CULTURE-MÉDIAS,POLITIQUE-CULTURELLE,,,,,,,,
2695,RELATIONS-INTERNATIONALES,POLITIQUE-ÉTRANGÈRE,,,,,,,,
2696,JUSTICE-DROITS,FONDAMENTAUX,POLITIQUE-JUDICIAIRE,,,,,,,
2697,ENVIRONNEMENT,CATASTROPHE,NATURELLE,,,,,,,
2698,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2699,VIE,ÉCONOMIQUE,TOURISME,,,,,,,
2700,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2701,VILLE-TERRITOIRES,AMÉNAGEMENT,DU,TERRITOIRE,,,,,,
2702,ENERGIE-TRANSPORTS,POLITIQUE-DES,TRANSPORTS,,,,,,,
2703,RELATIONS-INTERNATIONALES,OTAN,,,,,,,,
2704,ENVIRONNEMENT,CATASTROPHE,NATURELLE,,,,,,,
2705,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2706,VILLE-TERRITOIRES,LOGEMENT,,,,,,,,
2707,DÉFENSE,ARMÉE,,,,,,,,
2708,SANTÉ-PROTECTION,SOCIALE,POLITIQUE-SOCIALE,,,,,,,
2709,EDUCATION-RECHERCHE,ENSEIGNANT,,,,,,,,
2710,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2711,SOCIÉTÉ-POPULATION,HANDICAPÉ,,,,,,,,
2712,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2713,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2714,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2715,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2716,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2717,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2718,DÉFENSE,MILITAIRE,,,,,,,,
2719,SOCIÉTÉ-POPULATION,MIGRATION,,,,,,,,
2720,SANTÉ-PROTECTION,SOCIALE,SANTÉ,PUBLIQUE,,,,,,
2721,VIE,ÉCONOMIQUE,GESTION,D'ENTREPRISE,,,,,,
2722,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2723,FINANCES,PUBLIQUES,TAXE,,,,,,,
2724,SOCIÉTÉ-POPULATION,HANDICAPÉ,,,,,,,,
2725,CULTURE-MÉDIAS,FRANCOPHONIE,,,,,,,,
2726,VILLE-TERRITOIRES,LOGEMENT,,,,,,,,
2727,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2728,ENVIRONNEMENT,LITTORAL,,,,,,,,
2729,JUSTICE-DROITS,FONDAMENTAUX,POLITIQUE-JUDICIAIRE,,,,,,,
2730,CULTURE-MÉDIAS,FRANCOPHONIE,,,,,,,,
2731,DÉFENSE,MARINE,NATIONALE,,,,,,,
2732,ENVIRONNEMENT,POLITIQUE-DE,L'ENVIRONNEMENT,,,,,,,
